"Date","Price","Open","High","Low","Vol.","Change %"
"12/03/2023","39,970.2","39,456.8","40,178.9","39,280.3","35.27K","1.30%"
"12/02/2023","39,458.4","38,688.2","39,673.4","38,646.5","37.09K","1.99%"
"12/01/2023","38,688.2","37,712.9","38,950.8","37,618.3","62.50K","2.59%"
"11/30/2023","37,712.9","37,857.6","38,144.4","37,509.2","33.53K","-0.38%"
"11/29/2023","37,855.5","37,823.3","38,362.9","37,607.6","49.34K","0.09%"
"11/28/2023","37,823.3","37,244.3","38,379.4","36,881.1","57.50K","1.54%"
"11/27/2023","37,248.6","37,451.8","37,563.3","36,751.5","45.24K","-0.54%"
"11/26/2023","37,451.8","37,786.4","37,819.1","37,166.3","29.20K","-0.89%"
"11/25/2023","37,787.0","37,718.6","37,887.4","37,599.9","16.09K","0.18%"
"11/24/2023","37,717.3","37,295.0","38,400.8","37,257.4","65.83K","1.14%"
"11/23/2023","37,293.1","37,410.8","37,642.5","36,915.3","32.35K","-0.31%"
"11/22/2023","37,410.8","35,797.5","37,862.5","35,695.6","64.81K","4.46%"
"11/21/2023","35,813.6","37,452.7","37,631.2","35,799.2","71.07K","-4.38%"
"11/20/2023","37,454.1","37,356.6","37,735.6","36,857.6","51.80K","0.27%"
"11/19/2023","37,354.2","36,568.6","37,504.6","36,393.3","26.14K","2.15%"
"11/18/2023","36,568.6","36,617.5","36,845.2","36,220.6","20.88K","-0.07%"
"11/17/2023","36,595.4","36,161.8","36,690.6","35,875.2","51.37K","1.20%"
"11/16/2023","36,161.2","37,873.9","37,907.6","35,561.6","66.92K","-4.52%"
"11/15/2023","37,874.9","35,549.3","37,954.1","35,379.6","75.51K","6.54%"
"11/14/2023","35,549.3","36,478.3","36,744.5","34,984.3","63.56K","-2.55%"
"11/13/2023","36,478.3","37,067.8","37,404.6","36,358.4","44.55K","-1.58%"
"11/12/2023","37,064.4","37,149.0","37,215.3","36,761.9","21.45K","-0.23%"
"11/11/2023","37,150.5","37,306.3","37,401.3","36,767.6","29.53K","-0.41%"
"11/10/2023","37,303.0","36,700.5","37,496.1","36,347.2","59.56K","1.64%"
"11/09/2023","36,700.5","35,636.9","37,942.0","35,578.1","115.56K","2.98%"
"11/08/2023","35,636.9","35,426.2","36,050.2","35,148.8","46.33K","0.60%"
"11/07/2023","35,426.1","35,042.1","35,877.9","34,536.9","53.49K","1.10%"
"11/06/2023","35,042.0","35,020.3","35,275.6","34,742.9","29.81K","0.06%"
"11/05/2023","35,019.4","35,065.8","35,360.2","34,550.0","31.02K","-0.13%"
"11/04/2023","35,065.8","34,718.6","35,242.2","34,601.1","23.80K","1.00%"
"11/03/2023","34,718.7","34,931.4","34,940.6","34,124.2","54.54K","-0.61%"